"TAG","MODELO","OM","DATA","ÁREA DE INSPEÇÃO","HORÍMETRO","Analista Técnico","LADO","RODA GUIA","ELO","MOTRIZ(3 GARRAS)","ROLETE SUPERIOR 1","ROLETE SUPERIOR 2","ROLETE SUPERIOR 3","ROLETE SUPERIOR 4","ROLETE SUPERIOR 5","SAPATA","PASSO DA ESTEIRA","BUCHA","ROLETE INFERIOR","ROLETES DANIFICADOS (VISUAL)."
"PZ1001SA03","Pit Viper/DR416i","202503871642","9/8/2025","FASE 5","39,497","BRUNO SILVA","LC (lado cabine)","23","155","278","188","189","189","189","189","84","1,045","13.6","63.9","6"
"PZ1001SA03","Pit Viper/DR416i","202503871642","9/8/2025","FASE 5","39,497","BRUNO SILVA","LNC(lado não cabine)","23","155","283","188","189","189","189","189","84","1,045","13.8","64","5"
"PZ1001SA03","Pit Viper/DR416i","202504760132","9/29/2025","PÁTIO 320","39,763","BRUNO SILVA","LC (lado cabine)","23","155","279","188","188","188","188","188","83.5","1,045","13.5","63.6","6"
"PZ1001SA03","Pit Viper/DR416i","202504760132","9/26/2025","PÁTIO 320","39,763","BRUNO SILVA","LNC(lado não cabine)","23.5","154.5","279","186","188","188","188","188","83.6","1,045","13.6","63.4","7"
"PZ1001SA14","Pit Viper/DR416i","202503516073","8/1/2025","FASE 5","40,459","BRUNO SILVA","LC (lado cabine)","23","155","278","189","189","189","189","189","83","1,045","13.7","69.3","2"
"PZ1001SA14","Pit Viper/DR416i","202503516073","8/1/2025","FASE 5","40,459","BRUNO SILVA","LNC(lado não cabine)","23","155","278","189","189","189","190","190","82","1,045","13.9","69.3","0"
"PZ1001SA14","Pit Viper/DR416i","202504685469 ","9/24/2025","PÁTIO METSO","40,998","BRUNO SILVA","LNC(lado não cabine)","23","155","284","189","189","189","189","189","84","1,043","13.9","69","2"
"PZ1001SA14","Pit Viper/DR416i","202504685469","9/24/2025","PÁTIO METSO","40,998","BRUNO SILVA","LC (lado cabine)","23","154","284","189","189","189","189","189","83","1,043","13.6","69.4","0"
"PZ1001SA15","Pit Viper/DR416i","202504260650 ","9/11/2025","FASE 5","40,443","BRUNO SILVA","LC (lado cabine)","31","155","280.5","198","197","198","196","198","83","1,047","13.6","72","3"
"PZ1001SA15","Pit Viper/DR416i","202504260650","9/11/2025","FASE 5","40,443","BRUNO SILVA","LNC(lado não cabine)","31.5","154.5","280","197","197","198","198","197","83","1,046","13.5","72","4"
"PZ1001SA20","FlexiROC D65","202504492102","9/26/2025","FASE 5","27,873","BRUNO SILVA","LC (lado cabine)","17.5","86","186","98","0","0","0","0","23","687","7.6","41.8","0"
"PZ1001SA20","FlexiROC D65","202504492102","9/26/2025","FASE 5","27,873","BRUNO SILVA","LNC(lado não cabine)","17.5","86.5","186","97","0","0","0","0","23","687","7.4","41.5","0"
"PZ1001SA44","Pit Viper/DR416i","202505258768","10/21/2025","CAVA MINA","11,290","BRUNO SILVA","LC (lado cabine)","31","154","281","189","189","189","189","189","81","1,046","13.8","73.7","9"
"PZ1001SA44","Pit Viper/DR416i","202505258768","10/21/2025","CAVA MINA","11,290","BRUNO SILVA","LNC(lado não cabine)","30","153","280","189","189","189","189","189","81","1,047","13.8","73.4","4"
"PZ1001SA35","Pit Viper/DR416i","202505079851","10/20/2025","PÁTIO 320","21,484","BRUNO SILVA","LC (lado cabine)","22.5","155","277","186","186","186","186","186","78","1,048","14","69.7","0"
"PZ1001SA35","Pit Viper/DR416i","202505079851","10/20/2025","PÁTIO 320","21,484","BRUNO SILVA","LNC(lado não cabine)","22.5","155","277","189","189","189","189","189","84","1,045","13.9","69.2","0"
"PZ1001SA41","Pit Viper/DR416i","202505257528","10/22/2025","PÁTIO 320","27,274","BRUNO SILVA","LC (lado cabine)","24","155","280","259","189","189","189","189","81","1,046","13.8","69.5","1"
"PZ1001SA41","Pit Viper/DR416i","202505257528","10/22/2025","PÁTIO 320","27,274","BRUNO SILVA","LNC(lado não cabine)","23","154","279","259","188","188","188","188","80","1,048","13.9","69.5","0"
"PZ1001SA23","FlexiROC D65","202505006856","10/22/2025","FASE 6","15,357","BRUNO SILVA","LC (lado cabine)","18","88","187","99","0","0","0","0","25","691","8","42.5","0"
"PZ1001SA23","FlexiROC D65","202505006856","10/22/2025","FASE 6","15,357","BRUNO SILVA","LNC(lado não cabine)","18.5","87","186","99","0","0","0","0","25","691.5","8","41.9","0"
"PZ1001SA41","Pit Viper/DR416i","202504334882","9/25/2025","FASE 6","26,989","BRUNO SILVA","LC (lado cabine)","23","155","280","257","189","189","189","189","79","1,047","13.8","69.5","1"
"PZ1001SA41","Pit Viper/DR416i","202504334882","9/25/2025","FASE 6","26,986","BRUNO SILVA","LNC(lado não cabine)","23","155","280.5","259","189","189","189","189","77","1,046","13.9","69.5","0"
"PZ1001SA21","FlexiROC D65","202504586995","9/22/2025","PÁTIO 320","16,767","BRUNO SILVA","LC (lado cabine)","18","88","187","97","0","0","0","0","23","686","8.1","42","0"
"PZ1001SA21","FlexiROC D65","202504586995","9/22/2025","PÁTIO 320","16,767","BRUNO SILVA","LNC(lado não cabine)","19","88","186","98","0","0","0","0","24","686","8","42","0"
"1101PF1803","Pit Viper/DR416i","202505257358","10/28/2025","PÁTIO 320","50,282","BRUNO SILVA","LC (lado cabine)","32","154","279","188","188.5","188.5","188","188","81","1,047","14","69.3","0"
